id;user_id;checkin_date;mood;confidence_level;stress_level;sleep_quality;trading_plan;planned_pairs;daily_risk_limit;max_trades;ai_response;created_at
3e785160-9903-4a42-b8e8-735109856e1c;729edbb5-3a37-4b62-b20b-2480dc5c7b2a;2026-03-09;calm;5;3;fair;already i am in sell trade on gold(xauusd) so it is a win i will call it a day but if it is a loss i'm looking for entry on NY(new york);"[""XAUUSD"",""EURJPY""]";1.5;2;Sounds like a clear plan! Keeping it simple and sticking to your limits is a smart move today. Go get 'em! 💪 📈;2026-03-09 07:38:57.328018+00
e5f41af0-9868-4a84-a139-776abaa397c3;729edbb5-3a37-4b62-b20b-2480dc5c7b2a;2026-03-10;neutral;5;3;fair;i think there is news for today so let see what we got;"[""XAUUSD"",""EURJPY""]";2;3;Morning! 🎯 Stay sharp for news and stick to your plan on XAUUSD and EURJPY. Your risk limit of 2% and max 3 trades will keep you protected. Have a great session! 💪;2026-03-10 05:03:22.100956+00
49f0dc88-e6eb-42a5-bbd5-8a8290e728e3;729edbb5-3a37-4b62-b20b-2480dc5c7b2a;2026-03-14;calm;5;3;poor;;"[""XAUUSD"",""EURJPY""]";2;3;Hey! 👋 Tough on the sleep, but staying calm is key. You've got your pairs and risk dialed in, so take your time to build that plan. Let's make it a good one! 💪;2026-03-14 18:56:29.885878+00
5b5c334e-b4a6-40ab-823f-fb71a3a82311;729edbb5-3a37-4b62-b20b-2480dc5c7b2a;2026-03-15;calm;5;3;good;;"[""XAUUSD"",""EURJPY""]";2;3;Hey! 👋 Good to hear you're feeling calm with good sleep. That's a great foundation 🧠. With XAUUSD and EURJPY on your radar, let's nail down that plan and crush those targets today! 💪 You got this! 🚀;2026-03-15 06:06:48.765539+00
83ad38bc-c1a3-4eb8-980c-74f99d8d3337;729edbb5-3a37-4b62-b20b-2480dc5c7b2a;2026-03-16;neutral;5;3;fair;;"[""XAUUSD"",""EURJPY""]";2;3;Hey! Good to check in. 😊 A neutral mood and fair sleep are a solid base! Let's get that plan locked in for XAUUSD and EURJPY. You've got this! 💪;2026-03-16 07:52:46.857762+00
04740943-f71b-41f5-8d48-3b754fd0f87a;729edbb5-3a37-4b62-b20b-2480dc5c7b2a;2026-03-17;calm;5;3;fair;;"[""XAUUSD"",""EURJPY""]";2;3;Morning! Feeling calm is a great start. Take your time planning your trades for XAUUSD and EURJPY, focusing on that 2% risk. You've got this! 💪;2026-03-17 05:42:02.206322+00
92f004f8-4938-4685-9117-048daab417c2;729edbb5-3a37-4b62-b20b-2480dc5c7b2a;2026-03-19;neutral;5;3;fair;;"[""XAUUSD"",""EURJPY""]";2;3;"Alright, let's get focused. Your plan isn't set yet; let's fix that. Today, prioritize clarity over quantity. Stick to your risk limits, and remember: precision beats prediction every time. Let's make it a good one! 📈
";2026-03-19 12:27:53.731726+00
7ddc1e99-8643-4d3d-b070-7b37abc9d031;729edbb5-3a37-4b62-b20b-2480dc5c7b2a;2026-03-23;neutral;5;3;fair;Focus on new York session because London prices didn't play well;"[""XAUUSD"",""EURJPY""]";2;3;Good morning! Neutral mood with fair sleep is a solid start. Stick to your plan, focus on NY session, and remember: discipline trumps emotion. Let's make it a productive day! 🚀;2026-03-23 10:52:46.189786+00
db532b70-536e-4989-8291-c0cd4116bfd6;df29fd2b-f8b3-4bc0-890f-a4f62208c03a;2026-03-23;excited;8;3;good;;"[""EURUSD"",""GBPUSD""]";1;2;"Good morning! ✅ Your mood and confidence are high – that's a strong start. But ""Plan: Not set yet"" is a red flag 🚩. Get that plan locked down before markets open. Let's attack today with precision! 💪";2026-03-23 10:53:59.927975+00
84877050-4399-445a-aa0d-8c50e7ff030e;729edbb5-3a37-4b62-b20b-2480dc5c7b2a;2026-03-29;calm;7;5;good;today is sunday so no trade;[];2;3;Good to see you checking in, even on an off day. Rest and reset is part of the strategy. Come back ready to execute your plan tomorrow! 💪;2026-03-29 05:06:07.941305+00
db3b1519-26ce-4a0f-b213-141576d07b19;729edbb5-3a37-4b62-b20b-2480dc5c7b2a;2026-04-01;frustrated;5;3;good;;"[""XAUUSD""]";2;3;Frustration is temporary. Remember your edge on XAUUSD and those 2% risk limits. Let's focus on quality over quantity today. You've got this! 💪;2026-04-01 18:57:44.448964+00
4199be39-d915-4895-af8a-31084b0fdf24;729edbb5-3a37-4b62-b20b-2480dc5c7b2a;2026-04-02;neutral;5;2;good;;"[""XAUUSD"",""USDJPY"",""EURJPY""]";1;3;Good morning! Neutral mood, 1% risk limit. Let's build on that strong sleep. Focus on quality setups over quantity today. 🎯;2026-04-02 03:56:56.514026+00
c7c79cd5-fd65-46a0-bbd0-d50e7f784d49;729edbb5-3a37-4b62-b20b-2480dc5c7b2a;2026-04-08;calm;5;3;good;;"[""XAUUSD""]";2;3;Good morning. A calm mood and good sleep are excellent foundations. Let's build a solid plan for XAUUSD today and stick to those limits. Focus on execution. 💪;2026-04-08 04:59:14.519586+00
144d1d99-0503-4167-baf8-6a6051063374;729edbb5-3a37-4b62-b20b-2480dc5c7b2a;2026-04-09;calm;5;2;fair;;"[""XAUUSD""]";2;2;Welcome back! ☀️ Calm and focused is a great start. Let's build that confidence by sticking to your process today, especially with XAUUSD. Remember your max trades and risk limits, and let the market come to you. 📈;2026-04-09 06:02:37.330867+00
380e3f23-ad23-4087-87cb-d0963129df90;729edbb5-3a37-4b62-b20b-2480dc5c7b2a;2026-04-13;calm;5;3;good;;"[""XAUUSD""]";2;3;Good morning! ☀️ Calm and ready. Focus on disciplined execution today. Let's make every decision count and finish strong. 💪;2026-04-13 10:21:38.162005+00
9a098dbf-9d40-4b26-8808-b9ba3fb782c0;729edbb5-3a37-4b62-b20b-2480dc5c7b2a;2026-04-14;calm;7;2;good;;"[""XAUUSD""]";2;3;Calm and good sleep are excellent foundations. Let's build on that by focusing on a solid plan for XAUUSD, staying within your 2% risk and 3-trade limit. Focus on quality, not quantity today. 📈;2026-04-14 04:10:54.8385+00
f77e1b62-2b6d-46ef-8f3f-5cb1e7c42033;18500679-9563-4266-bbd5-a14d1306147a;2026-04-14;calm;8;1;good;;"[""XAUUSD"",""EURJPY""]";2;2;Good morning! ✅ Calm, confident, good sleep – sounds like a solid start. Let's build that plan for XAUUSD and EURJPY. Stick to your risk and trade limits, and make today count! 💪;2026-04-14 04:20:48.521732+00
